,Unnamed: 0,AB,Age,BB,from,G,H,HR,OPS,PA,R,SB,SO,to,WAR,experience,names,Zero,Year_difference
12694,12694,9,24.116,0,2002,8,2,0,0.444,10,1,0,1,2002,0.0,1,Steve Smyth,0,0
12696,12696,5,28.322,1,2000,113,2,1,1.5,6,1,0,3,2002,0.3,3,Gene Stechschulte,0,2
12698,12698,0,22.318,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,John Stephens,0,0
12707,12707,2,26.108,0,2002,2,0,0,0.0,2,0,0,2,2002,0.0,1,Nate Teut,0,0
12710,12710,19,24.217,3,2001,15,2,0,0.33299999999999996,23,1,0,4,2002,-0.3,2,Steve Torrealba,0,1
12712,12712,0,26.254,0,2002,3,0,0,,0,0,0,0,2002,0.0,1,J.J. Trujillo,0,0
12714,12714,0,23.058000000000003,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Andy Van Hekken,0,0
12718,12718,5,29.038,0,2002,3,3,0,1.4669999999999999,6,1,0,1,2002,0.2,1,Dusty Wathan,0,0
12720,12720,0,26.18,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Scott Wiggins,0,0
12723,12723,3,26.083000000000002,0,2002,1,0,0,0.0,3,0,0,1,2002,-0.1,1,Ron Wright,0,0
12726,12726,9,24.346999999999998,2,2002,8,1,0,0.495,11,2,0,3,2003,-0.1,2,Luke Allen,0,1
12727,12727,1,26.267,0,2003,12,0,0,0.0,1,0,0,0,2003,0.0,1,Edwin Almonte,0,0
12730,12730,2,26.291,0,2002,9,0,0,0.0,2,0,0,2,2003,0.0,2,Victor Alvarez,0,1
12731,12731,8,26.221,0,2001,11,1,0,0.25,10,0,0,5,2003,0.0,3,Jeff Austin,0,2
12734,12734,78,29.008000000000003,2,2001,46,12,1,0.39299999999999996,80,4,0,18,2003,-0.9,2,Larry Barnes,0,2
12739,12739,0,28.182,0,2003,19,0,0,,0,0,0,0,2003,0.0,1,Nate Bland,0,0
12742,12742,0,27.021,0,2001,0,0,0,,0,0,0,0,2003,0.0,3,Brian Bowles,0,2
12743,12743,2,30.118000000000002,0,2001,80,1,0,1.0,2,0,0,0,2003,0.1,3,Troy Brohawn,0,2
12744,12744,7,29.346999999999998,0,2003,4,0,0,0.0,7,0,0,4,2003,-0.1,1,Mark Budzinski,0,0
12746,12746,121,31.154,19,2000,42,30,5,0.77,145,20,0,38,2003,-0.1,3,Morgan Burkhart,0,3
12747,12747,553,25.128,24,2001,203,137,11,0.664,597,85,4,60,2003,-0.3,3,Brent Butler,0,2
12748,12748,0,27.003,0,2003,11,0,0,,0,0,0,0,2003,0.0,1,Juan Cerros,0,0
12749,12749,2,28.111,0,2003,2,0,0,0.0,2,0,0,2,2003,-0.1,1,Jim Chamblee,0,0
12750,12750,1,25.096,0,2003,1,0,0,0.0,1,0,0,0,2003,-0.1,1,Travis Chapman,0,0
12756,12756,2,26.263,0,2002,71,0,0,0.0,2,0,0,1,2003,0.0,2,Mike Crudale,0,1
12760,12760,4,25.328000000000003,0,2003,2,0,0,0.0,4,0,0,3,2003,0.0,1,Roger Deago,0,0
12762,12762,2,29.336,0,2003,2,0,0,0.0,2,0,0,1,2003,-0.1,1,Joe Depastino,0,0
12763,12763,2,28.299,0,2002,41,0,0,0.0,2,0,0,1,2003,0.0,2,Jayson Durocher,0,1
12764,12764,0,26.278000000000002,0,2002,0,0,0,,0,0,0,0,2003,0.0,2,Eric Eckenstahler,0,1
12765,12765,0,27.23,0,2002,0,0,0,,0,0,0,0,2003,0.0,2,Dave Elder,0,1
12768,12768,0,24.361,0,2003,2,0,0,,0,0,0,0,2003,0.0,1,Anthony Ferrari,0,0
12769,12769,4,31.247,0,2000,5,0,0,0.0,4,0,0,2,2003,0.0,4,Tony Fiore,0,3
12770,12770,7,22.103,1,2003,23,1,0,0.536,8,0,0,3,2003,0.0,1,Matt Ford,0,0
12773,12773,0,29.164,0,2002,2,0,0,,0,0,0,0,2003,0.0,2,Reynaldo Garcia,0,1
12776,12776,0,26.302,0,2003,4,0,0,,0,0,0,0,2003,0.0,1,Jason Gilfillan,0,0
